bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
891453,1430,HB1000,1,Introduced,2017-01-09,"Concerning the use of deadly force by law enforcement and corrections officers.","Concerning the use of deadly force by law enforcement and corrections officers.",2763,"House Public Safety",2018-01-08,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1000/2017,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1000&year=2017
891472,1430,HB1001,4,Passed,2017-04-17,"Concerning utility easements on state-owned aquatic lands.","Concerning utility easements on state-owned aquatic lands.",0,,2017-04-17,"Effective date 7/23/2017.",https://legiscan.com/WA/bill/HB1001/2017,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1001&year=2017
891444,1430,HB1002,1,Introduced,2017-01-09,"Concerning public funds being used for elective abortions.","Concerning public funds being used for elective abortions.",937,"House Health Care and Wellness",2018-01-08,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1002/2017,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1002&year=2017
891461,1430,HB1003,1,Introduced,2017-01-09,"Establishing parental notification requirements for abortion.","Establishing parental notification requirements for abortion.",937,"House Health Care and Wellness",2018-01-08,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1003/2017,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1003&year=2017
891459,1430,HB1004,1,Introduced,2017-01-09,"Protecting the constitutionally guaranteed right to the lawful possession of firearms during a state of emergency.","Protecting the constitutionally guaranteed right to the lawful possession of firearms during a state of emergency.",940,"House Judiciary",2018-01-08,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1004/2017,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1004&year=2017
891448,1430,HB1005,1,Introduced,2017-01-09,"Creating accountability in agency rule-making authority.","Creating accountability in agency rule-making authority.",3147,"House State Government",2018-01-08,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1005/2017,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1005&year=2017
891468,1430,HB1006,1,Introduced,2017-01-09,"Protecting the right to work.","Protecting the right to work.",3417,"House Labor & Workplace Standards",2018-01-08,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1006/2017,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1006&year=2017
891463,1430,HB1007,1,Introduced,2017-01-09,"Accommodating the civil rights of religious objectors to mandatory payments to labor organizations.","Accommodating the civil rights of religious objectors to mandatory payments to labor organizations.",3417,"House Labor & Workplace Standards",2018-01-08,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1007/2017,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1007&year=2017
891470,1430,HB1008,1,Introduced,2017-01-09,"Concerning the acquisition of land by state natural resources agencies.","Concerning the acquisition of land by state natural resources agencies.",925,"House Capital Budget",2018-01-08,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1008/2017,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1008&year=2017
891439,1430,HB1009,1,Introduced,2017-01-09,"Clarifying that the authority to mitigate environmental impacts under the state environmental policy act applies only to significant adverse environmental impacts.","Clarifying that the authority to mitigate environmental impacts under the state environmental policy act applies only to significant adverse environmental impacts.",1716,"House Environment",2018-01-08,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1009/2017,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1009&year=2017
891467,1430,HB1010,4,Passed,2017-04-19,"Directing the department of ecology to submit an annual report to the legislature detailing the department&#x27;s participation in interagency agreements.","Directing the department of ecology to submit an annual report to the legislature detailing the department&#x27;s participation in interagency agreements.",0,,2017-04-19,"Effective date 7/23/2017.",https://legiscan.com/WA/bill/HB1010/2017,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1010&year=2017
891449,1430,HB1011,1,Introduced,2017-01-09,"Allowing the use of gender-segregated facilities.","Allowing the use of gender-segregated facilities.",940,"House Judiciary",2018-01-08,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1011/2017,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1011&year=2017
891452,1430,HB1012,1,Introduced,2017-01-09,"Eliminating the use of the high school science assessment as a graduation prerequisite.","Eliminating the use of the high school science assessment as a graduation prerequisite.",930,"House Education",2018-01-08,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1012/2017,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1012&year=2017
