bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1385841,1792,HB1000,1,Introduced,1/11/2021,Expanding mental health support for law enforcement officers.,Expanding mental health support for law enforcement officers.,2759,House Appropriations,1/10/2022,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1000/2021,https://app.leg.wa.gov/billsummary?BillNumber=1000&Year=2021&Initiative=false
1385842,1792,HB1001,4,Passed,4/16/2021,Establishing a law enforcement professional development outreach grant program.,Establishing a law enforcement professional development outreach grant program.,0,,4/16/2021,Effective date 7/25/2021.,https://legiscan.com/WA/bill/HB1001/2021,https://app.leg.wa.gov/billsummary?BillNumber=1001&Year=2021&Initiative=false
1385831,1792,HB1002,1,Introduced,1/11/2021,Providing a business and occupation tax exemption for qualifying grants related to COVID-19 relief.,Providing a business and occupation tax exemption for qualifying grants related to COVID-19 relief.,933,House Finance,1/10/2022,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1002/2021,https://app.leg.wa.gov/billsummary?BillNumber=1002&Year=2021&Initiative=false
1385826,1792,HB1003,1,Introduced,1/11/2021,Requiring watermarks on mail-in ballots.,Requiring watermarks on mail-in ballots.,3819,House State Government & Tribal Relations,1/10/2022,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1003/2021,https://app.leg.wa.gov/billsummary?BillNumber=1003&Year=2021&Initiative=false
1385834,1792,HB1004,1,Introduced,1/11/2021,Concerning legislative oversight of emergency health orders.,Concerning legislative oversight of emergency health orders.,3819,House State Government & Tribal Relations,1/10/2022,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1004/2021,https://app.leg.wa.gov/billsummary?BillNumber=1004&Year=2021&Initiative=false
1385827,1792,HB1005,1,Introduced,1/11/2021,Concerning the crime of blacklisting.,Concerning the crime of blacklisting.,3417,House Labor & Workplace Standards,1/10/2022,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1005/2021,https://app.leg.wa.gov/billsummary?BillNumber=1005&Year=2021&Initiative=false
1385824,1792,HB1006,1,Introduced,1/11/2021,Protecting the right of every Washington resident to decline an immunization or vaccination based on religion or conscience.,Protecting the right of every Washington resident to decline an immunization or vaccination based on religion or conscience.,937,House Health Care and Wellness,1/10/2022,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1006/2021,https://app.leg.wa.gov/billsummary?BillNumber=1006&Year=2021&Initiative=false
1385833,1792,HB1007,4,Passed,4/14/2021,Concerning the completion of supervised experience through distance supervision.,Concerning the completion of supervised experience through distance supervision.,0,,4/14/2021,"Chapter 21, 2021 Laws.",https://legiscan.com/WA/bill/HB1007/2021,https://app.leg.wa.gov/billsummary?BillNumber=1007&Year=2021&Initiative=false
1385838,1792,HB1008,1,Introduced,1/11/2021,Prohibiting abortion on the basis of Down syndrome.,Prohibiting abortion on the basis of Down syndrome.,937,House Health Care and Wellness,1/10/2022,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1008/2021,https://app.leg.wa.gov/billsummary?BillNumber=1008&Year=2021&Initiative=false
1385829,1792,HB1009,4,Passed,4/16/2021,Concerning student health plans.,Concerning student health plans.,0,,4/16/2021,Effective date 7/25/2021.,https://legiscan.com/WA/bill/HB1009/2021,https://app.leg.wa.gov/billsummary?BillNumber=1009&Year=2021&Initiative=false
