bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
451781,1022,HB1000,2,Engrossed,2013-03-11,"Providing immunity for health care providers following directions contained in a form developed pursuant to RCW 43.70.480.","Providing immunity for health care providers following directions contained in a form developed pursuant to RCW 43.70.480.",940,"House Judiciary",2014-01-13,"Referred to Judiciary.",https://legiscan.com/WA/bill/HB1000/2013,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1000&year=2013
451777,1022,HB1001,4,Passed,2013-05-14,"Creating a beer and wine theater license.","Creating a beer and wine theater license.",0,,2013-05-14,"Effective date 7/28/2013.",https://legiscan.com/WA/bill/HB1001/2013,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1001&year=2013
451773,1022,HB1002,1,Introduced,2013-01-14,"Establishing a yellow dot program for motor vehicles.","Establishing a yellow dot program for motor vehicles.",946,"House Transportation",2014-01-13,"By resolution, reintroduced and retained in present status.",https://legiscan.com/WA/bill/HB1002/2013,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1002&year=2013
451767,1022,HB1003,4,Passed,2013-05-01,"Concerning disciplinary actions against the health professions license of the subject of a department of social and health services' finding.","Concerning disciplinary actions against the health professions license of the subject of a department of social and health services' finding.",0,,2013-05-01,"Effective date 1/1/2014.",https://legiscan.com/WA/bill/HB1003/2013,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1003&year=2013
451761,1022,HB1004,2,Engrossed,2013-03-13,"Concerning payment of property taxes.","Concerning payment of property taxes.",933,"House Finance",2014-01-13,"Referred to Finance.",https://legiscan.com/WA/bill/HB1004/2013,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1004&year=2013
451757,1022,HB1005,2,Engrossed,2014-02-17,"Concerning responsibilities and funding of the public disclosure commission.","Concerning responsibilities and funding of the public disclosure commission.",960,"Senate Rules",2014-03-13,"By resolution, returned to House Rules Committee for third reading.",https://legiscan.com/WA/bill/HB1005/2013,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1005&year=2013
451753,1022,HB1006,4,Passed,2013-05-01,"Removing the requirement that earnings from the Washington horse racing commission operating account be credited to the Washington horse racing commission class C purse fund account.","Removing the requirement that earnings from the Washington horse racing commission operating account be credited to the Washington horse racing commission class C purse fund account.",0,,2013-05-01,"Effective date 7/28/2013.",https://legiscan.com/WA/bill/HB1006/2013,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1006&year=2013
451746,1022,HB1007,2,Engrossed,2013-03-09,"Concerning the covering of loads on public highways.","Concerning the covering of loads on public highways.",946,"House Transportation",2014-01-13,"Referred to Transportation.",https://legiscan.com/WA/bill/HB1007/2013,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1007&year=2013
451740,1022,HB1008,2,Engrossed,2013-03-09,"Allowing sales of growlers of cider.","Allowing sales of growlers of cider.",960,"Senate Rules",2014-03-13,"By resolution, returned to House Rules Committee for third reading.",https://legiscan.com/WA/bill/HB1008/2013,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1008&year=2013
451734,1022,HB1009,4,Passed,2013-05-01,"Prohibiting certain liquor self-checkout machines.","Prohibiting certain liquor self-checkout machines.",0,,2013-05-01,"Effective date 7/28/2013.",https://legiscan.com/WA/bill/HB1009/2013,http://apps.leg.wa.gov/billinfo/summary.aspx?bill=1009&year=2013
