,id,report_number,origin,filer_id,filer_name,type,funding_source_id,funding_source_name,filing_period,receipt_date,employer_id,employer_name,compensation,sub_lobbyist_compensation,net_compensation,personal_expenses,entertainment,contributions,advertising,political_ads,other,total_expenses,net_total,employment_registration_id,employment_type,contractor_id,contractor_name,url,legislation_subject_matter,issue_bill_number,committee_lobbied
70000,66895-18676,66895,FE,17528,LUKE ESSER,Employer,18676,SEIU 775,20-Mar,4/16/2020,16905.0,SEIU 775,4500.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,18676.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/66895),Fiscal,Medicaid,Sen. Ways & Means; House Appropriations
70001,66895-40644,66895,FE,17528,LUKE ESSER,Employer,40644,SIGNATURE HEALTHCARE SERVICES LLC,20-Mar,4/16/2020,16917.0,SIGNATURE HEALTHCARE SERVICES LLC,4000.0,-2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,40644.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/66895),Health Care,Mental Health,"Senate Health & Long Term Care; House Health Care & Wellness, Dept. of Health, Dept. of Social & Health Services"
70002,66917-37230,66917,FE,37193,Courtney Blatz,Employer,37230,Washington Solar Energy Industries Association (BOSWELL CONSULTING*),20-Mar,4/16/2020,16929.0,Washington Solar Energy Industries Association,233.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,37230.0,Subcontract,17398.0,BOSWELL CONSULTING*,View report (https://accesshub.pdc.wa.gov/node/66917),,,
70003,66917-40682,66917,FE,37193,Courtney Blatz,Employer,40682,PEACEHEALTH (BOSWELL CONSULTING*),20-Mar,4/16/2020,16934.0,PEACEHEALTH,233.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,40682.0,Subcontract,17398.0,BOSWELL CONSULTING*,View report (https://accesshub.pdc.wa.gov/node/66917),,,
70004,66917-37204,66917,FE,37193,Courtney Blatz,Employer,37204,"STAND FOR CHILDREN, INC. (CHRISTOPHERSEN INC*)",20-Mar,4/16/2020,16949.0,"STAND FOR CHILDREN, INC.",363.63,0.0,363.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.63,37204.0,Subcontract,17348.0,CHRISTOPHERSEN INC*,View report (https://accesshub.pdc.wa.gov/node/66917),,,
70005,66899-18296,66899,FE,17399,MARCY BOWERS,Employer,18296,STATEWIDE POVERTY ACTION NETWORK,20-Mar,4/16/2020,16952.0,STATEWIDE POVERTY ACTION NETWORK,281.04,0.0,281.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.04,18296.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/66899),Human services,"TANF, ABD, SNAP, housing pilot","DSHS, Commerce"
70006,66897-18267,66897,FE,17393,Bogard & Johnson LLC,Employer,18267,WA TOURISM ALLIANCE,20-Mar,4/16/2020,16987.0,WA TOURISM ALLIANCE,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,18267.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/66897),Business and consumer affairs,Tourism,S T & ED; H CDH&TA
70007,66898-19348,66898,FE,17840,GRANT NELSON,Employer,19348,Toy Association,20-Mar,4/16/2020,16988.0,Toy Association,5000.0,-2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,19348.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/66898),Environmental Affairs - natural resources - parks,EPR,"E&E, EET"
70008,66920-46896,66920,FE,18102,Bryce Yadon,Employer,46896,TRANSPORTATION CHOICES COALITION,20-Mar,4/16/2020,16990.0,TRANSPORTATION CHOICES COALITION,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,46896.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/66920),Transportation,"Transportation Funding, Transportation Budget","House and Senate Transportation Committees, WSDOT, Governor's Office"
70009,66872-35141,66872,FE,35140,Dawn Rains,Employer,35141,TREEHOUSE,20-Mar,4/16/2020,16992.0,TREEHOUSE,1715.7,0.0,1715.7,0.0,0.0,0.0,532.26,0.0,0.0,532.26,2247.96,35141.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/66872),Education,SHB 2711,"Rep. Santos, Rep. Sullivan, Rep. Stonier, Rep. Johnson, Sen. Carlyle"
70010,64788-19711,64788,FE,17996,STRATEGIES 360*,Employer,19711,TULALIP TRIBES OF WA,20-Jan,4/16/2020,16997.0,TULALIP TRIBES OF WA,7500.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,19711.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/64788),Fiscal,HB 2803 / SB 6601,House Finance / Senate Ways & Means
70011,66177-19711,66177,FE,17996,STRATEGIES 360*,Employer,19711,TULALIP TRIBES OF WA,20-Feb,4/16/2020,16997.0,TULALIP TRIBES OF WA,7500.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,19711.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/66177),Fiscal,HB 2803 / SB 6601,House Finance / Senate Ways & Means
70012,66917-37235,66917,FE,37193,Courtney Blatz,Employer,37235,Uber Technologies Inc and Affiliates (BOSWELL CONSULTING*),20-Mar,4/16/2020,17001.0,Uber Technologies Inc and Affiliates,233.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,37235.0,Subcontract,17398.0,BOSWELL CONSULTING*,View report (https://accesshub.pdc.wa.gov/node/66917),,,
70013,66911-32066,66911,FE,32065,Samantha Grad,Employer,32066,UNITED FOOD & COMM WRKRS # 3000,20-Mar,4/16/2020,17005.0,UNITED FOOD & COMM WRKRS # 3000,10379.2,0.0,10379.2,1550.0,0.0,0.0,0.0,0.0,0.0,1550.0,11929.2,32066.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/66911),Labor,labor policies,"Legislature, ESD, LNI, DOH"
70014,66917-37231,66917,FE,37193,Courtney Blatz,Employer,37231,VALLEY MEDICAL CENTER (BOSWELL CONSULTING*),20-Mar,4/16/2020,17027.0,VALLEY MEDICAL CENTER,233.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,37231.0,Subcontract,17398.0,BOSWELL CONSULTING*,View report (https://accesshub.pdc.wa.gov/node/66917),,,
70015,66917-37229,66917,FE,37193,Courtney Blatz,Employer,37229,VIGOR INDUSTRIAL (BOSWELL CONSULTING*),20-Mar,4/16/2020,17035.0,VIGOR INDUSTRIAL,233.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,37229.0,Subcontract,17398.0,BOSWELL CONSULTING*,View report (https://accesshub.pdc.wa.gov/node/66917),,,
