,id,report_number,origin,filer_id,filer_name,type,funding_source_id,funding_source_name,filing_period,receipt_date,employer_id,employer_name,compensation,sub_lobbyist_compensation,net_compensation,personal_expenses,entertainment,contributions,advertising,political_ads,other,total_expenses,net_total,employment_registration_id,employment_type,contractor_id,contractor_name,url,legislation_subject_matter,issue_bill_number,committee_lobbied
0,24334-18316,24334,FE,17411,LARRY BROWN,Employer,18316,Intl Assn of Machinists & Aerospace Workers Dist Lodge 751,16-Jul,8/3/2016,16072.0,Intl Assn of Machinists & Aerospace Workers Dist Lodge 751,482.8,0.0,482.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.8,18316.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/24334),Transportation,,
1,24327-19592,24327,FE,17951,Noah Seidel,Employer,19592,ARC OF WA ST,16-Jul,8/3/2016,16137.0,ARC OF WA ST,200.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,19592.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/24327),,,
2,24301-19236,24301,FE,17786,Leonard A Mc Comb,Employer,19236,ASSN OF WA PUBLIC HOSPITAL DISTRICTS,16-Jul,8/3/2016,16170.0,ASSN OF WA PUBLIC HOSPITAL DISTRICTS,4500.0,0.0,4500.0,426.96,0.0,0.0,0.0,0.0,0.0,426.96,4926.96,19236.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/24301),Fiscal,,
3,24326-18232,24326,FE,17376,JERRY BENDER,Employer,18232,ASSN OF WA SCHOOL PRINCIPALS,16-Jul,8/3/2016,16173.0,ASSN OF WA SCHOOL PRINCIPALS,2956.8,0.0,2956.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2956.8,18232.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/24326),Education,,
4,24314-18213,24314,FE,17364,BOB BASS,Employer,18213,AT&T SERVICES INC,16-Jul,8/3/2016,16175.0,AT&T SERVICES INC,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,18213.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/24314),Technology,,
9,24301-19237,24301,FE,17786,Leonard A Mc Comb,Employer,19237,CITY OF EVERETT,16-Jul,8/3/2016,16281.0,CITY OF EVERETT,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,19237.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/24301),Fiscal,,
10,24301-19238,24301,FE,17786,Leonard A Mc Comb,Employer,19238,COMMUNITY HEALTH NETWORK OF WA,16-Jul,8/3/2016,16348.0,COMMUNITY HEALTH NETWORK OF WA,12500.0,0.0,12500.0,1585.22,0.0,0.0,0.0,0.0,0.0,1585.22,14085.22,19238.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/24301),Fiscal,,
12,24322-19537,24322,FE,17914,TACY A READING,Employer,19537,FOOD LIFELINE,16-Jul,8/3/2016,16448.0,FOOD LIFELINE,3163.0,0.0,3163.0,19.19,0.0,0.0,0.0,0.0,0.0,19.19,3182.19,19537.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/24322),Human services,,
13,24307-18519,24307,FE,17473,CATHY DAHLQUIST,Employer,18519,"Northwest Fiber, LLC dba Ziply Fiber",16-Jul,8/3/2016,16463.0,"Northwest Fiber, LLC dba Ziply Fiber",6897.0,0.0,6897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6897.0,18519.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/24307),Energy and utilities,,
15,24328-19676,24328,FE,17988,KRAIG M STEVENSON,Employer,19676,INTL CODE COUNCIL,16-Jul,8/3/2016,16539.0,INTL CODE COUNCIL,405.32,0.0,405.32,396.76,0.0,0.0,0.0,0.0,0.0,396.76,802.08,19676.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/24328),,,
