,id,report_number,origin,filer_id,filer_name,type,funding_source_id,funding_source_name,filing_period,receipt_date,employer_id,employer_name,compensation,sub_lobbyist_compensation,net_compensation,personal_expenses,entertainment,contributions,advertising,political_ads,other,total_expenses,net_total,employment_registration_id,employment_type,contractor_id,contractor_name,url,legislation_subject_matter,issue_bill_number,committee_lobbied
60000,57116-19698,57116,FE,17996,STRATEGIES 360*,Employer,19698,CITY OF ARLINGTON,19-Jun,12/17/2019,16272.0,CITY OF ARLINGTON,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,19698.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/57116),,,
60002,57116-19699,57116,FE,17996,STRATEGIES 360*,Employer,19699,CITY OF MARYSVILLE,19-Jun,12/17/2019,16298.0,CITY OF MARYSVILLE,3500.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,19699.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/57116),,,
60004,57116-48466,57116,FE,17996,STRATEGIES 360*,Employer,48466,CITY OF MONROE,19-Jun,12/17/2019,16299.0,CITY OF MONROE,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,48466.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/57116),,,
60006,57116-19700,57116,FE,17996,STRATEGIES 360*,Employer,19700,CITY OF STANWOOD,19-Jun,12/17/2019,16312.0,CITY OF STANWOOD,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,19700.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/57116),,,
60008,56223-26261,56223,FE,17536,Nick Federici,Employer,26261,CITY OF SPOKANE,19-May,12/17/2019,16314.0,CITY OF SPOKANE,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,26261.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/56223),,,
60009,56640-26261,56640,FE,17536,Nick Federici,Employer,26261,CITY OF SPOKANE,19-Jun,12/17/2019,16314.0,CITY OF SPOKANE,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,26261.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/56640),,,
60010,61301-18321,61301,FE,17413,MARK O BROWN,Employer,18321,City of Vancouver,19-Nov,12/17/2019,16319.0,City of Vancouver,8500.0,0.0,8500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8500.0,18321.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/61301),Fiscal,Fiscal,Local Government
60011,56223-47022,56223,FE,17536,Nick Federici,Employer,47022,CITY OF YAKIMA,19-May,12/17/2019,16321.0,CITY OF YAKIMA,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,47022.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/56223),,,
60012,56640-47022,56640,FE,17536,Nick Federici,Employer,47022,CITY OF YAKIMA,19-Jun,12/17/2019,16321.0,CITY OF YAKIMA,2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,47022.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/56640),,,
60014,57116-38853,57116,FE,17996,STRATEGIES 360*,Employer,38853,C-TRAN,19-Jun,12/17/2019,16375.0,C-TRAN,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,38853.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/57116),,,
60016,56223-18690,56223,FE,17536,Nick Federici,Employer,18690,FAIRFAX HOSPITAL,19-May,12/17/2019,16431.0,FAIRFAX HOSPITAL,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,18690.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/56223),Health Care,Mental Health,"Senate HC, Ways, HSMHH, House HC, Approps"
60017,56640-18690,56640,FE,17536,Nick Federici,Employer,18690,FAIRFAX HOSPITAL,19-Jun,12/17/2019,16431.0,FAIRFAX HOSPITAL,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,18690.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/56640),Health Care,Mental Health,"Senate HC, Ways, HSMHH, House HC, Approps"
60018,61198-19089,61198,FE,17710,TERRY KOHL,Employer,19089,FAMILY WINERIES OF WA ST,19-Nov,12/17/2019,16434.0,FAMILY WINERIES OF WA ST,208.33,0.0,208.33,29.84,0.0,0.0,0.0,0.0,0.0,29.84,238.17,19089.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/61198),Business and consumer affairs,Washington Wineries,HS Senate Commerce Law
60019,57116-19701,57116,FE,17996,STRATEGIES 360*,Employer,19701,GRANT PUD,19-Jun,12/17/2019,16481.0,GRANT PUD,4500.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,19701.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/57116),,,
60021,57116-19703,57116,FE,17996,STRATEGIES 360*,Employer,19703,Jefferson County,19-Jun,12/17/2019,16558.0,Jefferson County,1300.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,19703.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/57116),,,
60023,57116-19704,57116,FE,17996,STRATEGIES 360*,Employer,19704,LEAGUE OF EDUCATION VOTERS,19-Jun,12/17/2019,16589.0,LEAGUE OF EDUCATION VOTERS,4750.0,0.0,4750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4750.0,19704.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/57116),,,
60025,56619-18246,56619,FE,17388,ANNIE BLACKLEDGE,Employer,18246,The Mockingbird Society,19-Mar,12/17/2019,16639.0,The Mockingbird Society,856.43,0.0,856.43,304.11,0.0,0.0,0.0,0.0,0.0,304.11,1160.54,18246.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/56619),Human services,VCO 5290,Workkgroup meeting
60026,56686-18246,56686,FE,17388,ANNIE BLACKLEDGE,Employer,18246,The Mockingbird Society,19-Apr,12/17/2019,16639.0,The Mockingbird Society,1682.8,0.0,1682.8,168.41,0.0,0.0,0.0,0.0,0.0,168.41,1851.21,18246.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/56686),Human services,VCO 5290,Meeting with Rep Mosbrucker
60027,56708-18246,56708,FE,17388,ANNIE BLACKLEDGE,Employer,18246,The Mockingbird Society,19-May,12/17/2019,16639.0,The Mockingbird Society,480.8,0.0,480.8,499.38,0.0,0.0,0.0,0.0,0.0,499.38,980.18,18246.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/56708),Human services,VCO 5290,SB 5290 Celebration with Rep Frame & Rep Senn
60028,61318-19204,61318,FE,17776,TRENT MATSON,Employer,19204,"Moneytree, Inc.",19-Nov,12/17/2019,16643.0,"Moneytree, Inc.",2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,19204.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/61318),Financial institutions and insurance,financial/lending,legislators considering legislation impacting financial institutions/short term lending
60029,61306-19506,61306,FE,17905,T K BENTLER/PUBLIC AFFAIRS ASSOC*,Employer,19506,"MOTION PICTURE ASSOCIATION, INC.",19-Nov,12/17/2019,16645.0,"MOTION PICTURE ASSOCIATION, INC.",2500.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,19506.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/61306),,,
60030,61306-19507,61306,FE,17905,T K BENTLER/PUBLIC AFFAIRS ASSOC*,Employer,19507,MOTOR VEHICLE SOFTWARE CORP,19-Nov,12/17/2019,16648.0,MOTOR VEHICLE SOFTWARE CORP,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,19507.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/61306),Business and consumer affairs,Subagency license,Dept. of Licensing and Transportation Comm Members
60031,54741-24519,54741,FE,24518,Huma Zarif,Employer,24519,Northwest Health Law Advocates,19-Jan,12/17/2019,16709.0,Northwest Health Law Advocates,1028.44,0.0,1028.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1028.44,24519.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/54741),Health Care,reproductive health care,Senate Health Committee
60032,54742-24519,54742,FE,24518,Huma Zarif,Employer,24519,Northwest Health Law Advocates,19-Feb,12/17/2019,16709.0,Northwest Health Law Advocates,1469.2,0.0,1469.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469.2,24519.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/54742),Health Care,SB 5602,Senate Health Committee
60033,54778-24519,54778,FE,24518,Huma Zarif,Employer,24519,Northwest Health Law Advocates,19-Mar,12/17/2019,16709.0,Northwest Health Law Advocates,624.41,0.0,624.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.41,24519.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/54778),Health Care,SB 5602,House Health Committee
60034,55629-24519,55629,FE,24518,Huma Zarif,Employer,24519,Northwest Health Law Advocates,19-Apr,12/17/2019,16709.0,Northwest Health Law Advocates,1331.46,0.0,1331.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1331.46,24519.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/55629),Health Care,SB 5602,House and Senate Health Committees
60035,61375-24519,61375,FE,24518,Huma Zarif,Employer,24519,Northwest Health Law Advocates,19-Aug,12/17/2019,16709.0,Northwest Health Law Advocates,284.66,0.0,284.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.66,24519.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/61375),Health Care,reproductive health care,Health Care Authority
60036,57116-50736,57116,FE,17996,STRATEGIES 360*,Employer,50736,PACIFIC NORTHWEST REGIONAL COUNCIL OF CARPENTERS,19-Jun,12/17/2019,16754.0,PACIFIC NORTHWEST REGIONAL COUNCIL OF CARPENTERS,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,50736.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/57116),,,
60038,56223-18692,56223,FE,17536,Nick Federici,Employer,18692,PIONEER HUMAN SERVICES,19-May,12/17/2019,16788.0,PIONEER HUMAN SERVICES,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,18692.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/56223),Human services,"Mental health, chemical dependency, criminal justice","Senate HC, Ways, HSMHH, L&J, House HC, Approps, Pub safety"
60039,56640-18692,56640,FE,17536,Nick Federici,Employer,18692,PIONEER HUMAN SERVICES,19-Jun,12/17/2019,16788.0,PIONEER HUMAN SERVICES,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,18692.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/56640),Human services,"Mental health, chemical dependency, criminal justice","Senate HC, Ways, HSMHH, L&J, House HC, Approps, Pub safety"
