,id,report_number,origin,filer_id,filer_name,type,funding_source_id,funding_source_name,filing_period,receipt_date,employer_id,employer_name,compensation,sub_lobbyist_compensation,net_compensation,personal_expenses,entertainment,contributions,advertising,political_ads,other,total_expenses,net_total,employment_registration_id,employment_type,contractor_id,contractor_name,url,legislation_subject_matter,issue_bill_number,committee_lobbied
65000,59086-18865,59086,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,18865,WA ASSN OF WHEAT GROWERS,19-Sep,2/21/2020,17209.0,WA ASSN OF WHEAT GROWERS,4250.0,0.0,4250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4250.0,18865.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/59086),Agriculture,,legislature
65001,60056-18865,60056,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,18865,WA ASSN OF WHEAT GROWERS,19-Oct,2/21/2020,17209.0,WA ASSN OF WHEAT GROWERS,4250.0,0.0,4250.0,993.38,0.0,0.0,0.0,0.0,0.0,993.38,5243.38,18865.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/60056),Agriculture,,legislature
65002,64013-18865,64013,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,18865,WA ASSN OF WHEAT GROWERS,20-Jan,2/21/2020,17209.0,WA ASSN OF WHEAT GROWERS,4250.0,0.0,4250.0,0.0,3335.66,0.0,0.0,0.0,0.0,3335.66,7585.66,18865.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/64013),Agriculture,,legislature
65003,58922-19815,58922,FE,18043,THE TSB GROUP*,Employer,19815,WA ST POTATO COMMISSION,19-Sep,2/21/2020,17273.0,WA ST POTATO COMMISSION,5416.66,0.0,5416.66,87.32,0.0,0.0,0.0,0.0,0.0,87.32,5503.98,19815.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/58922),Agriculture,Climate & Water Policy,"Senate Ag, Water, Natural Resources & Parks; House Rural Development, Agriculture, & Natural Resources; Office of the Governor; Agriculture; Natural Resources; Ecology"
65004,61749-19815,61749,FE,18043,THE TSB GROUP*,Employer,19815,WA ST POTATO COMMISSION,19-Dec,2/21/2020,17273.0,WA ST POTATO COMMISSION,5416.66,0.0,5416.66,12.18,0.0,0.0,0.0,0.0,0.0,12.18,5428.84,19815.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/61749),Agriculture,Climate & Water Policy,"Senate Ag, Water, Natural Resources & Parks; House Rural Development, Agriculture, & Natural Resources; Office of the Governor; Agriculture; Natural Resources; Ecology"
65005,64892-19815,64892,FE,18043,THE TSB GROUP*,Employer,19815,WA ST POTATO COMMISSION,20-Jan,2/21/2020,17273.0,WA ST POTATO COMMISSION,5416.66,0.0,5416.66,89.43,0.0,0.0,0.0,0.0,0.0,89.43,5506.09,19815.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/64892),Agriculture,Climate & Water Policy,"Senate Ag, Water, Natural Resources & Parks; House Rural Development, Agriculture, & Natural Resources; Office of the Governor; Agriculture; Natural Resources; Ecology"
65007,60056-47229,60056,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,47229,Western Governors University,19-Oct,2/21/2020,17299.0,Western Governors University,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,47229.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/60056),,,
65008,64013-47229,64013,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,47229,Western Governors University,20-Jan,2/21/2020,17299.0,Western Governors University,4000.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,47229.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/64013),Education,"operating budget, higher education, education",legislature
65009,59086-18866,59086,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,18866,YAKIMA CO,19-Sep,2/21/2020,17320.0,YAKIMA CO,4500.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,18866.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/59086),Local government,"local law enforcement, budget requests, land use, tribal, human services, fiscal",legislature
65010,60056-18866,60056,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,18866,YAKIMA CO,19-Oct,2/21/2020,17320.0,YAKIMA CO,4500.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,18866.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/60056),Local government,"local law enforcement, budget requests, land use, tribal, human services, fiscal",legislature
65011,64013-18866,64013,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,18866,YAKIMA CO,20-Jan,2/21/2020,17320.0,YAKIMA CO,4500.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,18866.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/64013),Local government,"local law enforcement, budget requests, land use, tribal, human services, fiscal",legislature
65012,59086-25018,59086,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,25018,SSMCP,19-Sep,2/21/2020,24910.0,SSMCP,2916.67,0.0,2916.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2916.67,25018.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/59086),Local government,,Legislature
65013,60056-25018,60056,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,25018,SSMCP,19-Oct,2/21/2020,24910.0,SSMCP,2916.67,0.0,2916.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2916.67,25018.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/60056),Local government,,Legislature
65014,64013-25018,64013,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,25018,SSMCP,20-Jan,2/21/2020,24910.0,SSMCP,2916.67,0.0,2916.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2916.67,25018.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/64013),Local government,,Legislature
65015,59086-26833,59086,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,26833,STACS DNA Inc,19-Sep,2/21/2020,26832.0,STACS DNA Inc,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,26833.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/59086),State government,DNA rape kit tracking,legislature
65016,60056-26833,60056,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,26833,STACS DNA Inc,19-Oct,2/21/2020,26832.0,STACS DNA Inc,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,26833.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/60056),State government,DNA rape kit tracking,legislature
65017,64013-26833,64013,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,26833,STACS DNA Inc,20-Jan,2/21/2020,26832.0,STACS DNA Inc,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,26833.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/64013),State government,DNA rape kit tracking,legislature
65019,59086-28692,59086,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,28692,Benton County Commissioners,19-Sep,2/21/2020,28679.0,Benton County Commissioners,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,28692.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/59086),Local government,"local law enforcement, budget requests, land use, tribal, human services, fiscal",legislature
65020,60056-28692,60056,FE,17581,GORDON THOMAS HONEYWELL GOV AFFAIRS*,Employer,28692,Benton County Commissioners,19-Oct,2/21/2020,28679.0,Benton County Commissioners,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,28692.0,Direct,,,View report (https://accesshub.pdc.wa.gov/node/60056),Local government,"local law enforcement, budget requests, land use, tribal, human services, fiscal",legislature
