,id,report_number,origin,filer_id,filer_name,type,funding_source_id,funding_source_name,filing_period,receipt_date,employer_id,employer_name,compensation,sub_lobbyist_compensation,net_compensation,personal_expenses,entertainment,contributions,advertising,political_ads,other,total_expenses,net_total,employment_registration_id,employment_type,contractor_id,contractor_name,url,legislation_subject_matter,issue_bill_number,committee_lobbied
15000,108044-83390,108044,FE,27257,Paribello Public Affairs,Employer,83390,Washington Sun and Craft Grower's Association (BMcConsulting),23-Aug,11/2/2023,43434,Washington Sun and Craft Grower's Association,250.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,83390,Subcontract,26001.0,BMcConsulting,View report (https://accesshub.pdc.wa.gov/node/108044),,,
15001,108044-85006,108044,FE,27257,Paribello Public Affairs,Employer,85006,Washington Solar Energy Industries Association,23-Aug,11/2/2023,16929,Washington Solar Energy Industries Association,2000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,85006,Direct,,,View report (https://accesshub.pdc.wa.gov/node/108044),Energy and utilities,Clean Energy,"Legislature, Governor, Commerce"
15002,108044-98644,108044,FE,27257,Paribello Public Affairs,Employer,98644,Swinomish Indian Tribal Community,23-Aug,11/2/2023,16963,Swinomish Indian Tribal Community,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,98644,Direct,,,View report (https://accesshub.pdc.wa.gov/node/108044),,,
15003,108044-100107,108044,FE,27257,Paribello Public Affairs,Employer,100107,Save Our Wild Salmon,23-Aug,11/2/2023,51766,Save Our Wild Salmon,3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,100107,Direct,,,View report (https://accesshub.pdc.wa.gov/node/108044),,,
15004,109606-73643,109606,FE,73642,Jeff Johnson,Employer,73643,REGIONAL WATER COOPERATIVE OF PIERCE CO,23-Oct,11/2/2023,17293,REGIONAL WATER COOPERATIVE OF PIERCE CO,3200.0,0.0,3200.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,3300.0,73643,Direct,,,View report (https://accesshub.pdc.wa.gov/node/109606),Energy and utilities,"DOE Policy 2030, DOH PFAS response, water rights, water treatment","DOH, DOE, DOC"
15005,109608-49630,109608,FE,49611,Devon S. Connor-Green,Employer,49630,ARNPS UNITED OF WA ST,23-Oct,11/2/2023,16070,ARNPS UNITED OF WA ST,1500.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,49630,Direct,,,View report (https://accesshub.pdc.wa.gov/node/109608),Health Care,Health Care,"H Health Care, S Health Care"
15006,109608-70233,109608,FE,49611,Devon S. Connor-Green,Employer,70233,ASSN OF ADV PRACTICE PSYCHIATRIC NURSES,23-Oct,11/2/2023,16147,ASSN OF ADV PRACTICE PSYCHIATRIC NURSES,1250.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,70233,Direct,,,View report (https://accesshub.pdc.wa.gov/node/109608),Health Care,Health Care,"H Health Care, S Health Care"
15007,109608-80023,109608,FE,49611,Devon S. Connor-Green,Employer,80023,GILEAD SCIENCES INC,23-Oct,11/2/2023,16471,GILEAD SCIENCES INC,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,80023,Direct,,,View report (https://accesshub.pdc.wa.gov/node/109608),Health Care,Health Care,All House & Senate
15008,109608-86707,109608,FE,49611,Devon S. Connor-Green,Employer,86707,Children's Alliance,23-Oct,11/2/2023,16256,Children's Alliance,5500.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,86707,Direct,,,View report (https://accesshub.pdc.wa.gov/node/109608),,,
15009,109608-96464,109608,FE,49611,Devon S. Connor-Green,Employer,96464,Tubman Center for Health,23-Oct,11/2/2023,82670,Tubman Center for Health,2750.0,0.0,2750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.0,96464,Direct,,,View report (https://accesshub.pdc.wa.gov/node/109608),Health Care,Health Care,All House & Senate
